phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7291164,https://yfvmpwwywxzdnhvnhkemxmfgdbhrwevwfvqskuxv.ibwmnh.shop/wctx1D1DFxFDg.do.php,http://www.phishtank.com/phish_detail.php?phish_id=7291164,2021-09-14T04:59:10+00:00,yes,2021-09-14T05:13:24+00:00,yes,Other
7291161,https://pastoriemedical.co.za/Swiss_Post.Home-page/Seleccione_medio_de_pago.php,http://www.phishtank.com/phish_detail.php?phish_id=7291161,2021-09-14T04:57:28+00:00,yes,2021-09-14T05:13:24+00:00,yes,Other
7291153,http://codashopfd8.gq/,http://www.phishtank.com/phish_detail.php?phish_id=7291153,2021-09-14T04:41:52+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291154,http://codashopfd7.tk/,http://www.phishtank.com/phish_detail.php?phish_id=7291154,2021-09-14T04:41:52+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291155,http://grroups-vrll2021.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7291155,2021-09-14T04:41:52+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291156,http://grup21.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7291156,2021-09-14T04:41:52+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291157,http://reditscbydeden82.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7291157,2021-09-14T04:41:52+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291158,http://www.codashop-event-topup21.duckdns.org/free-fire/,http://www.phishtank.com/phish_detail.php?phish_id=7291158,2021-09-14T04:41:52+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291138,http://eventclaimhadiah34.duckdns.org/dataff.php,http://www.phishtank.com/phish_detail.php?phish_id=7291138,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291139,http://reditscbydeden82.duckdns.org/vk.php,http://www.phishtank.com/phish_detail.php?phish_id=7291139,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291140,http://codashop-event-topup21.duckdns.org/free-fire/verification.php,http://www.phishtank.com/phish_detail.php?phish_id=7291140,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291141,http://eventgg-by-garena-freefire2021.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7291141,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291142,http://spinngas-ffdisini.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7291142,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291143,http://freefireitem-vip6.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7291143,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291144,http://midasbuyfreeuclastseasonm2.wikaba.com/,http://www.phishtank.com/phish_detail.php?phish_id=7291144,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291145,http://grupzonadewasa18.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7291145,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291146,http://xvideokorean18.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7291146,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291147,http://codashopfd4.ga/,http://www.phishtank.com/phish_detail.php?phish_id=7291147,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291148,http://codashopfd4.gq/,http://www.phishtank.com/phish_detail.php?phish_id=7291148,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291149,http://codashopfd5.cf/,http://www.phishtank.com/phish_detail.php?phish_id=7291149,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291150,http://codashopfd3.cf/,http://www.phishtank.com/phish_detail.php?phish_id=7291150,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291151,http://codashop-event-topup21.duckdns.org/free-fire/,http://www.phishtank.com/phish_detail.php?phish_id=7291151,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291152,http://codashopfd8.ml/,http://www.phishtank.com/phish_detail.php?phish_id=7291152,2021-09-14T04:41:51+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291136,http://reward-hadiahff11.duckdns.org/vk.php,http://www.phishtank.com/phish_detail.php?phish_id=7291136,2021-09-14T04:41:50+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291137,http://claim-hadiahaniversary32.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7291137,2021-09-14T04:41:50+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291135,http://e-pointpesmobile.cf/login.php,http://www.phishtank.com/phish_detail.php?phish_id=7291135,2021-09-14T04:41:50+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291134,https://contro.3utilities.com/?checkid=a@abc,http://www.phishtank.com/phish_detail.php?phish_id=7291134,2021-09-14T04:27:41+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291133,https://24-gb.blogspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=7291133,2021-09-14T04:25:03+00:00,yes,2021-09-14T04:55:46+00:00,yes,Facebook
7291132,https://my-group-membre.online/3D-S-MN/floa/clients/5x5FvR.php?verification#_,http://www.phishtank.com/phish_detail.php?phish_id=7291132,2021-09-14T04:01:54+00:00,yes,2021-09-14T04:55:46+00:00,yes,Other
7291131,https://bendigobank.com.au.review-security.info,http://www.phishtank.com/phish_detail.php?phish_id=7291131,2021-09-14T03:56:20+00:00,yes,2021-09-14T04:55:46+00:00,yes,"Bendigo Bank"
7291127,http://claimskinz-nowg8.ga/,http://www.phishtank.com/phish_detail.php?phish_id=7291127,2021-09-14T03:47:30+00:00,yes,2021-09-14T04:43:56+00:00,yes,Other
7291128,http://newevent-claimzk1.ga/,http://www.phishtank.com/phish_detail.php?phish_id=7291128,2021-09-14T03:47:30+00:00,yes,2021-09-14T04:43:56+00:00,yes,Other
7291129,http://claimskinz-nowg4.ga/,http://www.phishtank.com/phish_detail.php?phish_id=7291129,2021-09-14T03:47:30+00:00,yes,2021-09-14T04:43:56+00:00,yes,Other
7291120,http://claimskinz-nowg4.cf/,http://www.phishtank.com/phish_detail.php?phish_id=7291120,2021-09-14T03:47:29+00:00,yes,2021-09-14T04:43:56+00:00,yes,Other
7291121,http://claimskinz-nowg3.cf/,http://www.phishtank.com/phish_detail.php?phish_id=7291121,2021-09-14T03:47:29+00:00,yes,2021-09-14T04:43:56+00:00,yes,Other
7291122,http://claimskinz-nowg2.cf/,http://www.phishtank.com/phish_detail.php?phish_id=7291122,2021-09-14T03:47:29+00:00,yes,2021-09-14T04:43:56+00:00,yes,Other
7291123,http://newevent-claimzk1.ml/,http://www.phishtank.com/phish_detail.php?phish_id=7291123,2021-09-14T03:47:29+00:00,yes,2021-09-14T04:43:56+00:00,yes,Other
7291124,http://newevent-claimzk1.cf/,http://www.phishtank.com/phish_detail.php?phish_id=7291124,2021-09-14T03:47:29+00:00,yes,2021-09-14T04:43:56+00:00,yes,Other
7291125,http://newevent-claimzk1.gq/,http://www.phishtank.com/phish_detail.php?phish_id=7291125,2021-09-14T03:47:29+00:00,yes,2021-09-14T04:43:56+00:00,yes,Other
7291126,http://claimskinz-nowg8.cf/,http://www.phishtank.com/phish_detail.php?phish_id=7291126,2021-09-14T03:47:29+00:00,yes,2021-09-14T04:43:56+00:00,yes,Other
7291113,http://claimskinz-nowg6.ga/,http://www.phishtank.com/phish_detail.php?phish_id=7291113,2021-09-14T03:47:28+00:00,yes,2021-09-14T04:43:56+00:00,yes,Other
7291114,http://claimskinz-nowg5.ga/,http://www.phishtank.com/phish_detail.php?phish_id=7291114,2021-09-14T03:47:28+00:00,yes,2021-09-14T04:43:56+00:00,yes,Other
